signal,prompt,n_words,meta_correctness,asr_text,asr_words_correct,asr_correctness,abs_error,note
5dfd87b1f24429d07fcf5466,do not cry baby do not cry,7,0.0,Don't cry. Don't cry.,2,0.2857142857142857,0.2857142857142857,
37e5eacd733c5e608e9992e8,roll over beethoven tell tchaikovsky the news,7,0.0,Citigrata,0,0.0,0.0,
be36aaddb05746bc19360489,if i bring the saucers in the station,8,0.0,,0,0.0,0.0,
751d206ee9f439cc769863a9,till you are finally alone i guess you will never know,11,0.0,"Till you're finally alone, I guess you'll never know",7,0.6363636363636364,0.6363636363636364,
b2d02608cc9ac85939f4d1f6,well you better send it to me,7,0.0,I know everything.,0,0.0,0.0,
617f8f0fe231a202314c82b8,and the union is gone for good,7,0.5714285714,letss,0,0.0,0.5714285714,
c16800a7b9597bcfa38e9c66,staring at the unexpected face of,6,0.1666666667,There's the64 Superhrlich vacuum-snap oh and as the car go,1,0.16666666666666666,3.33333360913457e-11,
3873e18e7a3e6cc1aa28ee43,as the beach rolls in i swear,7,0.4285714286,Yeah,0,0.0,0.4285714286,
b41d85e3e970e51c266dfb5c,lush the daintiest sigh all day all night,8,0.0,I,0,0.0,0.0,
728f33e552626e2a4303c8ce,cloud of shadow spins and spins,6,0.1666666667,S Lee Krimi,0,0.0,0.1666666667,
cb4b5fcb33fa12f27729adac,go back into the darkness from whence you come,9,0.0,Oh,0,0.0,0.0,
6b22ff05408b30c7a37c4049,village green has long turned brown,6,0.3333333333,Cause we have longrock,0,0.0,0.3333333333,
ba11c74d39eff96a4fbc806d,why do not you write your own songs invisible,9,1.0,I don't you write your own songs invisible,6,0.6666666666666666,0.33333333333333337,
5b1313fdfa403d632220ef66,oh another political anthem propaganda in a song,8,0.625,Oh,1,0.125,0.5,
dd3d9039b0b42c3d92c1f5ef,yeah show you all a thing or two,8,0.875,You are the thing that's left.,2,0.25,0.625,
8e578991c56f60adbb251a51,no one can resist yeah no one can resist,9,0.3333333333,"Now it can resist, yeah now it can resist",5,0.5555555555555556,0.2222222222555556,
e99b5c9efe2d5036745ac410,that is the kind of slime,6,0.8333333333,That slow time goes by,1,0.16666666666666666,0.6666666666333334,
1306ef5cd435600a2927f265,yeah i know what they sold me,7,0.0,Fuck yeah...,1,0.14285714285714285,0.14285714285714285,
48c0e4116ab66e0a3cce2ac1,only little babies like to cry,6,0.0,"Oh, it little babies like to cry.",5,0.8333333333333334,0.8333333333333334,
cd7bf28b6e1bc09684f88c96,cos what i saw in your eye,7,0.7142857143,Because what a song you're right,1,0.14285714285714285,0.5714285714428571,
d57d15b2984c39234ad709c6,world keeps spinning round and round,6,0.0,Lana he's been at the same place mother father,0,0.0,0.0,
6ee7e09745b292836a25f052,i said he is wound up,6,0.0,Now look for something that starts at the end.,0,0.0,0.0,
ffdf4d1fa1686f4065dc1426,saying life can be so cruel,6,0.0,Sounds like champed épico cruel,1,0.16666666666666666,0.16666666666666666,
cac74681c91f8777baa6d574,with you and me in the dark,7,0.7142857143,When you and me in the time,5,0.7142857142857143,1.428568374706174e-11,
0f6428e1bb542c9751f9f392,i could not go i just stayed home,8,0.25,I cannot hold I just stayed home,5,0.625,0.375,
ca685a77890bf339d8ec0863,i have seen lesser than live to see tomorrow,9,0.1111111111,"I see the sun, and the moon, and the sea, the night.",2,0.2222222222222222,0.1111111111222222,
f666eca143230a595fc71f17,karma's come my friends to listen and to learn,9,0.0,Tell meичbana brain,0,0.0,0.0,
05e1276c73572c3f036f5a6a,she is my scissor tail cyclops,6,0.5,"She's my silly tale, so I can't",1,0.16666666666666666,0.33333333333333337,
741f5059b3162266e4dea2ec,folks who are the sort who care,7,0.4285714286,Drums 9,0,0.0,0.4285714286,
9f624041457970b9b00e2db2,now a nuclear animal rules the world,7,0.0,"I will come here, and I will not lose the world.",2,0.2857142857142857,0.2857142857142857,
bcd0d00b7571680f438de77a,between small white boxes like sugar cubes in a street,10,0.6,,0,0.0,0.6,
cce1bf047518f1b05606f39f,oh babe i will make you stay,7,0.0,iras,0,0.0,0.0,
c1e9f5402b7b6b34e418efdf,i am not going to end up in davy jones's locker,11,0.9090909091,Unlock an end up in baby Jones's locker.,5,0.45454545454545453,0.4545454545545455,
5d47103dfedc1b337e046d4c,not the kind that is made of lies,8,0.875,not the kind that's made of lies.,6,0.75,0.125,
8d8f4a0f8024f0a042dec0b3,i thought that cannot be true,6,0.5,Bubble,0,0.0,0.5,
8b26c9fc87c002508d80e937,for my souls for my souls,6,0.0,"Honestly, I really appreciate it because I per usual effort. The test looked like an Außencapes burger today, but now to add another century on it, it looks just so tasty! Yes!! Ibro poorly got ejeurs, but now video manages to talk about the эксперbelt. I'm sorry... I really really appreciate the pain though I'm comparing the film slightly on Heaven. As for HAZ şu paneo fast,",1,0.16666666666666666,0.16666666666666666,
99715f38e1cfe86bec0f3d91,treading deeper in the trench you dug,7,0.0,,0,0.0,0.0,
70e48164b84fef44ec0adace,did not fade away again until the afternoon,8,0.0,"selipero bacon, cinematic fun",0,0.0,0.0,
c22fa7a597cbb385ed1d1931,and you can look like me,6,0.1666666667,"Can't you though here, tonight will come!",1,0.16666666666666666,3.33333360913457e-11,
945a1c7ca27e286d434c24f4,i better not get too close to her,8,0.875,A better not get too close to her,7,0.875,0.0,
c7f4d2b549532f0b73034d4f,i do not now what to say,7,0.8571428571,I don't know what to do.,4,0.5714285714285714,0.28571428567142865,
4f08fd367f976d0713fe94ae,how she caved in how she churned through the wheel,10,0.0,Exciting string music,0,0.0,0.0,
5331e1d5503186a10d7b4e85,bursting with pride at the fish that you have caught,10,0.2,So whose t4c3s2c3?? uh responds,0,0.0,0.2,
a073b4114198a46a52093fa8,my mama's darling i am left all alone,8,0.375,"My mama darling, I'm left over there.",3,0.375,0.0,
a6240b050ee105f147d93f90,i want to want to let go,7,0.0,,0,0.0,0.0,
b31c0743f796cd34b3e2d935,folks who are the sort who care,7,0.0,Move towards to Northern pewno.,0,0.0,0.0,
35e39a251139f0745caa2cc5,you cannot rest you bones,5,0.4,New Game Kendrick You've Made,0,0.0,0.4,
7186442ced09631e62adb80b,when all the lamps are burning,6,1.0,When all the lambs are burning,5,0.8333333333333334,0.16666666666666663,
55387631b6f9cde99474bc1f,i thought that cannot be true,6,1.0,I thought that could be true.,5,0.8333333333333334,0.16666666666666663,
3db76f57b406807d0e4591de,in my mind i can see is fine,8,0.0,our my love will tell our new up new new,1,0.125,0.125,
1c2835d739a675c40773c7fd,cos what i saw in your eye,7,0.1428571429,Tattoo,0,0.0,0.1428571429,
adfe10349852ed8419a7e4c7,till you are finally alone i guess you will never know,11,0.9090909091,"Till you finally alone, I guess you never know",9,0.8181818181818182,0.09090909091818178,
6425be767082641e5a7cb348,did not fade away again until the afternoon,8,0.0,orchestral music,0,0.0,0.0,
cbc83e10e2150ac048781f1b,i want to feel your love,6,0.5,I wanna hear your voice.,2,0.3333333333333333,0.16666666666666669,
7954cc36e1edf64a9da6d2d8,and you can look like me,6,0.1666666667,"So, smooth, cleared up, don't you see?",1,0.16666666666666666,3.33333360913457e-11,
a218cefd3fef44046a0085be,i said he is wound up,6,0.0,let me go. Let me go. Let me go. Let me proceed. Why?,0,0.0,0.0,
6ddcf80321c79fa94de99085,everything turned out so good,5,1.0,Everything turned out so good.,5,1.0,0.0,
f092078e3d82dcb7f073dbd9,village green has long turned brown,6,0.6666666667,The image green has long to run.,3,0.5,0.16666666669999997,
68e091111ea3fadc68df2289,equals makeout six point four,5,0.6,People make out! 6.4!,0,0.0,0.6,
f34f51fca15fd40c0e549072,the blind sleep and the deaf and dumb sleep,9,0.0,"Till I save them, their time looks clear",0,0.0,0.0,
7fb727df1742d15b4a037aac,bursting with pride at the fish that you have caught,10,0.0,And we're tied at the distance you come,3,0.3,0.3,
178ec826db9c3dfafc52cbb8,that is the kind of slime,6,0.8333333333,"That's the time, though, son.",1,0.16666666666666666,0.6666666666333334,
8dde601c1b93658b94c942a7,roll over beethoven tell tchaikovsky the news,7,0.0,🳐 × 0,0,0.0,0.0,
82450a54532d27dfd54de5fd,she is my scissor tail cyclops,6,0.3333333333,She's my city in Sire'ku.,1,0.16666666666666666,0.16666666663333332,
bb676a7a1b61a9450897ab82,circle down like the tiniest thing,6,0.0,-♪Suffin out the time airs kamp baa-moda!,1,0.16666666666666666,0.16666666666666666,
eaa99a35dfd5b3e333077d7c,cheyenne cheyenne hop on the ponies,6,0.0,Ancient,0,0.0,0.0,
8d734a0e2003c0c405e1da33,i am here for a lowlife,6,0.6666666667,I am in the foreground of life,2,0.3333333333333333,0.33333333336666665,
d265fb6b9e1f9ac667909580,once you told me i will never leave you,9,0.8888888889,"One two, told me, I'll never leave you.",5,0.5555555555555556,0.33333333334444437,
9be6e9d5792f7bcc5b76cfaa,with you and me in the dark,7,0.8571428571,When you and me in the time,5,0.7142857142857143,0.14285714281428574,
aae4473c0199dfd769d6a76d,treading deeper in the trench you dug,7,0.0,Dead Disconnective Transitionzanna,0,0.0,0.0,
153cb082a4aaa25c29a7d791,no one can resist yeah no one can resist,9,1.0,"No one can resist, yeah no one can resist",9,1.0,0.0,
8ac4cb61e4726c1a79534277,it hurts so bad it hurts,6,0.0,So,1,0.16666666666666666,0.16666666666666666,
992ad3e48d533251e1a7b9af,how she caved in how she churned through the wheel,10,0.2,How's your day? How's your day? How's your day? How's your day?,0,0.0,0.2,
3874696e58f60721f9b52903,karma's come my friends to listen and to learn,9,0.1111111111,Oh,0,0.0,0.1111111111,
54c30b719da37621037aa2ad,oh another political anthem propaganda in a song,8,0.125,"Oh. Thank, oh. Forgive it some.",1,0.125,0.0,
12c6d127576f2a381995d432,yeah i know what they sold me,7,0.1428571429,You're gonna know that this won't be,1,0.14285714285714285,4.285716226348768e-11,
f603fe3ed3ae2046a9ba6cff,i could not go i just stayed home,8,1.0,"I could not go, I just stayed home.",8,1.0,0.0,
0b8e7bab5902207d48872fde,i want to want to let go,7,0.0,,0,0.0,0.0,
54fc5383ee9476354ef627ac,and the union is gone for good,7,0.4285714286,And we ain't just gone for good,4,0.5714285714285714,0.14285714282857137,
9f28096b00c2f97bb4d7495a,i am not going to end up in davy jones's locker,11,0.5454545455,I'm not gonna end up in baby jumps this walker,4,0.36363636363636365,0.1818181818636364,
fa86b5ade942e521e626d6cf,sorry i let you down if i let you down,10,1.0,"Star you're left, you're down, you're left, you're down",2,0.2,0.8,
e0848131cbeb63fc9af07be7,we slaves and we masters flesh out beast disasters,9,0.7777777778,We slaves and we masters flesh out these disasters.,8,0.8888888888888888,0.11111111108888883,
1325b6a5e3d517ef79ff9d34,lush the daintiest sigh all day all night,8,0.5,I'll take you all the way.,2,0.25,0.25,
2a1b96a1105da3bb363d976b,and then lower it down again,6,0.3333333333,And then lower it down again.,6,1.0,0.6666666667000001,
25761fcbe295f09828d355b8,the smile on their face bloom,6,0.1666666667,I wish to come away in the last,1,0.16666666666666666,3.33333360913457e-11,
26c697e39ad9a0ee04ce3ed2,come along with me and all we know,8,1.0,a a,0,0.0,1.0,
6ab24458b67a3a36304a47dd,between small white boxes like sugar cubes in a street,10,0.2,"Friends all the night, Aunt Martinez Luxe de cutes對",0,0.0,0.2,
3ce4606f7256de9d10c75359,only little babies like to cry,6,0.0,"Oh, we're little babies like the bride!",3,0.5,0.5,
7287bb179178bdba644c048d,i see people with a hunger,6,0.5,I see people wherever they go.,3,0.5,0.0,
2008cda5cfefa0b5d02b3750,not the kind that is made of lies,8,0.25,Not the time that made a lie.,4,0.5,0.25,
8383877c8b7e72800e37acfa,one day i went down that railroad ?,8,0.875,One day I went down that railroad there,7,1.0,0.125,
340f21bc20a6b7f532c4db3d,i pressed the coupons on him and i,8,0.125,I press the cue once on in and I-,5,0.625,0.5,
fc3ca67e1f47686472dd167d,i have seen lesser than live to see tomorrow,9,0.7777777778,"I have seen the sun melt, let the sea go night",3,0.3333333333333333,0.4444444444666667,
8a4121fb24a7c3cecc9a3bd5,and it is all they will know,7,1.0,And it's all they'll know,3,0.42857142857142855,0.5714285714285714,
8cc6c6c54048df30a68e771e,i have got a drum machine and can of beans,10,0.5,I just want to sing and it can't be.,2,0.2,0.3,
3b50a1fad2a924ecab0d69bb,he was mauvish in the shops,6,0.6666666667,He was low-wish in the chops,4,0.6666666666666666,3.33333360913457e-11,
c5405cbd5a17f0f6bff658c9,for my souls for my souls,6,0.3333333333,Music,0,0.0,0.3333333333,
10d8efd269cb786091b86da3,go back into the darkness from whence you come,9,0.6666666667,"Oh, the back, the end of the darkness from when it's still okay.",4,0.4444444444444444,0.22222222225555555,
70fe05d7af939d4317ead7d7,do not cry baby do not cry,7,0.4285714286,Don't cry. Don't cry.,2,0.2857142857142857,0.14285714288571433,
484033a742a6808ba9b51b24,do you ever feel like you want to be someone else,11,0.7272727273,"You ever do what I'm saying, so what else?",4,0.36363636363636365,0.3636363636636364,
16a81ca0ac52dd5519cfa25d,my mama's darling i am left all alone,8,0.875,"My mama's darling, I'm left all for long.",5,0.625,0.25,
f1fdce68dd876ec774c021f1,saying life can be so cruel,6,1.0,Same life can't be so cruel.,4,0.6666666666666666,0.33333333333333337,
aa5ef01025f480e2afe437b9,torrentuous weather squirrel next door,5,0.0,So skirm landscape with dot scooter 1 2 2 3 2 2 2 3 4 2 1 2,0,0.0,0.0,
3038c77cab5eafeba7d36e82,you are sleeping with a pig,6,1.0,You're sleeping with a pig.,4,0.6666666666666666,0.33333333333333337,
88f490bd564691879f8b24c9,banana run looks like i am pulling a banana run,10,0.8,"Banana run, looks like I'm going on banana run",6,0.6,0.20000000000000007,
eba15107821b9604ae0824e4,while its dark as a dungeon,6,0.0,"But where is.. That Gyur dio? That Gyur dio? That Gyur dio? That Gyur dio was the more spectacular exhibit Uh uh oh. Uh obadi Arty Neckers думada F invariably not far too far too far away. She devastated little girl and caused by her own fears. The typical Mahjid back guys calm their fight. The still one lives on Europe, killing the redistribution of modernmethe. Her order for bars.",0,0.0,0.0,
9f6d92f57d2c55211d2cc666,why do not you write your own songs invisible,9,0.8888888889,I don't you write your own songs invisible,6,0.6666666666666666,0.22222222223333332,
99678dc4f3aada3833c764dc,now a nuclear animal rules the world,7,0.0,a,1,0.14285714285714285,0.14285714285714285,
eedcd337a9edff545fc40a31,cos you better hold on,5,1.0,Could you better hold on?,4,0.8,0.19999999999999996,
881974978fd498326ec3bf40,just moving to the groove until your body melts away,10,0.7,Just move into the groove until you're body man's way.,5,0.5,0.19999999999999996,
7c72db37458a5bd8d48777a4,a street a couple of cars and maybe some trees,10,0.0,Another,0,0.0,0.0,
963a0fc9ce12c49cc1f00454,world keeps spinning round and round,6,0.0,Ima,0,0.0,0.0,
a7e37502aac8ca4a813397cf,yeah show you all a thing or two,8,0.5,Here's a young thing that's clear.,2,0.25,0.25,
05d38978063b890e89ae94b3,oh babe i will make you stay,7,0.0,estic music,0,0.0,0.0,
bde44bb4f8ada1ba46f8b709,i do not now what to say,7,0.0,I don't know what to say.,4,0.5714285714285714,0.5714285714285714,
2049a73272a0c806c6156a93,as the beach rolls in i swear,7,0.0,"Leslie! Oh, thank my w dreams.",0,0.0,0.0,
682dbe8379976265468efd1f,i better not get too close to her,8,0.875,A fle Sharpe 88,0,0.0,0.875,
f8957fa3c6c0cb4b9e50582d,well you better send it to me,7,0.2857142857,I feel you better sign that to me,4,0.5714285714285714,0.2857142857285714,
b07d871845955f7a2daee104,cloud of shadow spins and spins,6,0.0,,0,0.0,0.0,
f8f4eda272ff6d2c69212eec,if i bring the saucers in the station,8,0.0,,0,0.0,0.0,
496a7a7f734720456461f884,but maybe getting far from the dark,7,0.0,But we'll be together on the dark,3,0.42857142857142855,0.42857142857142855,
3e7a0c9f2c2d96905d51319a,have belief in your dream,5,0.0,THREE EE EE EE EE EE EE EE EE,0,0.0,0.0,
a00d22f74d14c949b1826c6c,staring at the unexpected face of,6,0.5,staring at the n-explicit face of,5,0.8333333333333334,0.33333333333333337,
2a9d11d88aeb7461ab76bc33,check out the fools donkeys and the mules,8,0.5,Check out the files Doc is in the news,4,0.5,0.0,
6965dc5edf22a65cb030045c,it is a pretty crazy life,6,1.0,It's a pretty crazy line.,3,0.5,0.5,
ab746bf1bf9dea16cf018b96,village green has long turned brown,6,0.0,"If it's green, has long to run.",3,0.5,0.5,
ca5a985cf7192dc0f9212f41,and it is all they will know,7,0.1428571429,And it's all about love.,2,0.2857142857142857,0.1428571428142857,
f6a5a0ece061155b48b51a87,till you are finally alone i guess you will never know,11,0.7272727273,I'd take you time. I just don't have to know. I've just seen everything. What.,3,0.2727272727272727,0.4545454545727273,
bb0087202726cfdd2ecd755e,as the beach rolls in i swear,7,0.0,Love it all sitting as well,1,0.14285714285714285,0.14285714285714285,
641a257da3a408f858617663,i do not now what to say,7,0.1428571429,I don't know what to say.,4,0.5714285714285714,0.4285714285285714,
11be308e88478e0043766c5f,my mama's darling i am left all alone,8,0.875,"My mama darling, I'm left all for long.",4,0.5,0.375,
b77ae90f4a48ee7ed64a4f1f,i have got a drum machine and can of beans,10,0.1,let him turn his machine and the cannon bones,2,0.2,0.1,
43650102e6f423b297ce50ba,circle down like the tiniest thing,6,0.0,"No, no, no, no, no, no!",0,0.0,0.0,
0b19a33beff8ee1728c2ba02,treading deeper in the trench you dug,7,0.0,,0,0.0,0.0,
b560126688a4407c3f207232,bursting with pride at the fish that you have caught,10,0.1,H takiego El Piste,0,0.0,0.1,
65e3010e30da708f6f4d9faa,why do not you write your own songs invisible,9,0.7777777778,I will to write to Roswell fans' Med uh,1,0.1111111111111111,0.666666666688889,
16155a1f2b15021341e542c7,a street a couple of cars and maybe some trees,10,0.0,"W. Rudin Blum, M. L.",0,0.0,0.0,
3cbaf08d6e0e4ec40d87dea8,how she caved in how she churned through the wheel,10,0.0,"Till tomorrow we get here. Oh, she's here right now. We... Oh, all right. And here we are. Lord, we're here to offer You mission, and bring you the Book of Love.",1,0.1,0.1,
4cb6bec2d8a009347b79bcbe,oh another political anthem propaganda in a song,8,1.0,Oh another bad girl And a prop Shell fromtó,3,0.375,0.625,
dca23de942345b5319668c42,just moving to the groove until your body melts away,10,0.0,,0,0.0,0.0,
93b886c604709879f294387d,i see people with a hunger,6,0.5,I see people with a hunger.,6,1.0,0.5,
ca7bf1023aa3a89863386c28,the smile on their face bloom,6,0.0,For me to come away and last I'll say,0,0.0,0.0,
1998f8355b6ae5e840ebc8d6,if i bring the saucers in the station,8,0.25,"Bad thing all,collsimizin !",0,0.0,0.25,
058f2f73d1f9ffab909a361e,well you better send it to me,7,0.0,"Glaberg wakes up, plays, plays and sounds.",0,0.0,0.0,
d10e6246bb63eea197862100,in my mind i can see is fine,8,0.0,My life is so bright,2,0.25,0.25,
7a0cf2214fce7cd7d21c3f81,torrentuous weather squirrel next door,5,0.0,,0,0.0,0.0,
6a11b8f0f35b8b196d3c85c3,banana run looks like i am pulling a banana run,10,0.0,"The Dan of Run, looks like I'm building up the Dan of Run",4,0.4,0.4,
eb5de8893f3934a7596df52e,i have seen lesser than live to see tomorrow,9,0.0,"I can see the sun, the moon, let me see the night",2,0.2222222222222222,0.2222222222222222,
f10c4f24cc047d6f9eb46e44,he was mauvish in the shops,6,0.1666666667,He was blowered in the shots.,4,0.6666666666666666,0.49999999996666666,
b4a8b7a4a7fdb28d1614c882,and then lower it down again,6,0.0,And then lower it down again.,6,1.0,1.0,
5d901925919581a2ab6b4a98,for my souls for my souls,6,0.3333333333,Got you gunner. How to clean implants.,0,0.0,0.3333333333,
e1b64a21a55b8f912d1da57c,i am here for a lowlife,6,0.0,YOLE LEGPS,0,0.0,0.0,
2d40d8eb5fa72feb697cbaae,world keeps spinning round and round,6,0.0,for remembering the fact that I'm here.,0,0.0,0.0,
c837757d72fde60a164c62bc,cloud of shadow spins and spins,6,0.0,"I can get another chance at content news, I can get another chance at content news, I can get another chance at content news, I can get another chance at content news,",0,0.0,0.0,
204f06fe50dc7f4aec2f2e50,i want to want to let go,7,0.0,ali,0,0.0,0.0,
8283eb9f93a500e11d298ca2,folks who are the sort who care,7,0.2857142857,"Sloano, Pocha,ato, Sonishing Wonderful ball",0,0.0,0.2857142857,
fe334914224f4e0f2abe5795,when all the lamps are burning,6,0.0,when all of us equals Us,2,0.3333333333333333,0.3333333333333333,
6a5d7ed7d31baa41fde54f62,sorry i let you down if i let you down,10,0.1,"Star Two Electric sound by electricity, sound",0,0.0,0.1,
7e35ab413db897402915a109,do not cry baby do not cry,7,0.0,"No cry, baby. No cry.",3,0.42857142857142855,0.42857142857142855,
6044250129db593b66497a0b,she is my scissor tail cyclops,6,0.3333333333,,0,0.0,0.3333333333,
fd2f40ebb93afe68c3eb517d,only little babies like to cry,6,0.1666666667,my,0,0.0,0.1666666667,
455c296fc347ece3230ab6ae,i am not going to end up in davy jones's locker,11,0.6363636364,I'm not gonna end up in baby goat's locker,5,0.45454545454545453,0.1818181818545455,
f79d40ac8205569aaf22f945,but maybe getting far from the dark,7,0.0,"But we'll be getting far, far and far",3,0.42857142857142855,0.42857142857142855,
3258fd466884646481270d32,cheyenne cheyenne hop on the ponies,6,0.0,,0,0.0,0.0,
58203bbc32ac604c9d728bb2,and you can look like me,6,0.0,(*Martin amplitude of vocal pickup parts are set on a willing scale to make it D or D (*B and D sound to make an amazing sound�� as well as on the middle of the Beach,1,0.16666666666666666,0.16666666666666666,
72ab5c77bc8e880723a016db,you are sleeping with a pig,6,0.1666666667,You're sleeping with a pig.,4,0.6666666666666666,0.49999999996666666,
8c15dc3c3e5057628869b3bd,yeah show you all a thing or two,8,0.0,Here's a yellow thing at the top.,2,0.25,0.25,
d12146ad236a4271fca8f718,i thought that cannot be true,6,0.0,inkling,0,0.0,0.0,
ec70efbee40075d36e5c8049,you cannot rest you bones,5,0.2,you,1,0.2,0.0,
6ae67eea4823308eb33414f3,we slaves and we masters flesh out beast disasters,9,0.2222222222,We slice and we master splutch out these disasters.,5,0.5555555555555556,0.3333333333555556,
10eeb150605e749a20d453a0,with you and me in the dark,7,0.4285714286,We're here with me in the dark,5,0.7142857142857143,0.2857142856857143,
ce6fc04270b272c2fa8a306d,oh babe i will make you stay,7,0.0,Some transgender discrimination I,1,0.14285714285714285,0.14285714285714285,
ca19fa8dfa1b77bcd68a125e,the blind sleep and the deaf and dumb sleep,9,0.1111111111,"So fly, sleep, and the death on top sleep",4,0.4444444444444444,0.3333333333444444,
5be63b2410e6acf73a68318f,between small white boxes like sugar cubes in a street,10,0.0,reating some like Masters an engine,1,0.1,0.1,
5d45981c20b7b35ca4d791c5,have belief in your dream,5,0.8,Where are we living in your dreams?,2,0.4,0.4,
5d8554ffde9ae7dc93a58847,lush the daintiest sigh all day all night,8,0.0,"Hyunjin, Lyoss Yunho And Kim E drama",0,0.0,0.0,
e975c8ae8c5d730525a87b49,come along with me and all we know,8,0.0,tóspulty,0,0.0,0.0,
f57e152b67222f01e5a8fdcd,i said he is wound up,6,0.0,And Zed's back to our path,0,0.0,0.0,
e2237be8caaf707953534be3,staring at the unexpected face of,6,1.0,staring at the unexpected face of,6,1.0,0.0,
3aa8dda8770f8f229643eb3e,did not fade away again until the afternoon,8,0.0,Did it fiddle back into the afternoon?,3,0.375,0.375,
9365447930d6d4c247d8b4b3,once you told me i will never leave you,9,0.8888888889,One few told me I'll never leave you,5,0.5555555555555556,0.33333333334444437,
