signal,wer,ref_text,hyp_text,ref_norm,hyp_norm
8df6136ed4fd33771cf26205,1.75, Not a single moment, Mother sick girl come rule my scene,not a single moment,mother sick girl come rule my scene
eb0a454e2f81a918902ec8b6,0.0," As long as we dance, we are strong."," As long as we dance, we are strong.",as long as we dance we are strong,as long as we dance we are strong
48cc7fa1e7b72963a43caabf,0.6666666666666666, Cause I think you have a better new wish, Because I think you make perfect six-wheeled,cause i think you have a better new wish,because i think you make perfect sixwheeled
0e947e60750cb377dc6a7780,1.0, You will make a fire!,你我沒個忙耶,you will make a fire,
5a61d6b195b7894cabf2005f,0.6666666666666666, As I think you have a better new way., Cause I think you make perfect six-wheeled,as i think you have a better new way,cause i think you make perfect sixwheeled
58f8fb1bd72ea866b69fc20f,0.16666666666666666, Raising you is not my thing, Raising you is not my fate,raising you is not my thing,raising you is not my fate
6eca6856a3d488dd1ba7625d,1.0, But guess that's what's being held.," I'll forget, that's what CNN tells me.",but guess thats whats being held,ill forget thats what cnn tells me
769fdbab03f640bb04f9baff,0.0, You got a master's beat., You got a master's beat.,you got a masters beat,you got a masters beat
47ab392bbbe73c87627abb5b,0.0, You can find your way back home, You can find your way back home.,you can find your way back home,you can find your way back home
918e989828e9173348d712ee,8.0, you," As long as we dance, we are strong.",you,as long as we dance we are strong
440e71a59c558a99469f38b3,0.8," Love us, you love me.", Well I wish you'd love me,love us you love me,well i wish youd love me
e78c9a7a111b79eb34662c2d,0.7142857142857143, Mother pick up on me my feet," Mother said, girl, come rule my city.",mother pick up on me my feet,mother said girl come rule my city
e0fcc2e69893d04370cadcd9,8.0, you," As long as we dance, we are strong.",you,as long as we dance we are strong
68a1918781a3894dc2b00ce8,0.0, Raising you is not my thing., Raising you is not my thing,raising you is not my thing,raising you is not my thing
eba67c42ed61380136d82a3a,0,你我沒個忙耶,你我沒個忙耶,,
148133b7eecef2eecffc4799,0.0, Well I wish you'd love me, Well I wish you'd love me,well i wish youd love me,well i wish youd love me
bf54e742997b70d8c40f51ca,3.0, you, You gotta master speed.,you,you gotta master speed
12af34c2bb9f504ce93a850e,0.375," I'll forget, that's what's seeing and tells me."," I'll forget, that's what CNN tells me.",ill forget thats whats seeing and tells me,ill forget thats what cnn tells me
278231192ccc0b66774a8637,0.14285714285714285, Mother said girl come rule my city," Mother said, girl, come rule my scene.",mother said girl come rule my city,mother said girl come rule my scene
c66c9f875760b1dcb0960edf,0.4444444444444444, Because I think you make perfect six new way, Cause I think you make perfect six-wheeled,because i think you make perfect six new way,cause i think you make perfect sixwheeled
c65e4791ac98783c679bb8b1,0.0, You can find your way back home., You can find your way back home.,you can find your way back home,you can find your way back home
f771e545d9294ed64af408c8,0.0, Living's not only how we see, Living's not only how we see,livings not only how we see,livings not only how we see
f47bbb1f66c1415fe69dab61,0.5714285714285714, The figure senses are still a woooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo, To think your senses are still a-,the figure senses are still a woooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,to think your senses are still a
886ae67baf1794926c66dae8,1.6666666666666667, It's about time., Increase the ball in clothing.,its about time,increase the ball in clothing
c06ddba90a6f952b52e50138,5.0, you, I'm always under the gun,you,im always under the gun
3d100129795fa5524ce3b65e,0.25, So when you lost your sense of direction, So when you've lost all sense of direction,so when you lost your sense of direction,so when youve lost all sense of direction
9c91fcf7758fbf79522d90a5,0.0, How could you be so calm?, How could you be so calm?,how could you be so calm,how could you be so calm
cbec75dc6e3752c9e2e34bef,9.0, you," I've had enough, thrown in all sorts of dust.",you,ive had enough thrown in all sorts of dust
eefaa3ab6827a5adb315df87,0.14285714285714285, The new class separated brass hat chimes, The new class separated brass hat shines,the new class separated brass hat chimes,the new class separated brass hat shines
c30b901092248bc6906c17b7,0.375, Motor city girl shines so come meet up, Motor city girl shines so complete,motor city girl shines so come meet up,motor city girl shines so complete
aeb1ad98386d71e6db4b8129,1.2, I'm just gonna tell them.," Yeah, I told him try this.",im just gonna tell them,yeah i told him try this
a3275271e3df6084a762fcf0,0.0, How could you be so calm?, How could you be so calm?,how could you be so calm,how could you be so calm
558e18e3a3241143e0d4d650,0.16666666666666666, Motor city girl shine so complete., Motor city girl shines so complete,motor city girl shine so complete,motor city girl shines so complete
da6c3f0c62fba94dbb752a4d,0.0, Increase the ball in clothing., Increase the ball in clothing.,increase the ball in clothing,increase the ball in clothing
454fea627ad84956d8c1ae61,0.0, I'm always under the gun, I'm always under the gun,im always under the gun,im always under the gun
78efb747fb54f8a626dd4d84,0.875," I had enough, more than half the blackness."," I've had enough, thrown in all sorts of dust.",i had enough more than half the blackness,ive had enough thrown in all sorts of dust
aaf2c612cb68642efa4289a9,0.3333333333333333, The figure senses are still a-, The thing your senses are still a-,the figure senses are still a,the thing your senses are still a
52a634dfb43a96998294ab65,0.0, So when you've lost all sense of direction, So when you've lost all sense of direction,so when youve lost all sense of direction,so when youve lost all sense of direction
e5daf80b17c3704b9f001945,0.125, It will guide you through your loving heart., It will stab you through your loving heart,it will guide you through your loving heart,it will stab you through your loving heart
32c4f6b65120e449815e15e7,0.0," Yeah, I told him try this."," Yeah, I told him try this.",yeah i told him try this,yeah i told him try this
dbf72c5a910c12d897a32e41,0.0, Living's not only how we see, Living's not only how we see,livings not only how we see,livings not only how we see
e05dc8ba6a31805af828a8ac,1.0," Thunder clouds that berate its red, that shine", The new class separated brass hat shines,thunder clouds that berate its red that shine,the new class separated brass hat shines
5a8e46fb8fedb9f0380c2669,1.25, Peace above and glory., Increase the ball in clothing.,peace above and glory,increase the ball in clothing
9d2fc5e4305829596cc2e438,0.6666666666666666," No, the suicide sign's so complete.", Motor city girl shines so complete,no the suicide signs so complete,motor city girl shines so complete
5cce534c9bb4f8fd6b7b893f,0.5," Yeah, we're going to try this."," Yeah, I told him try this.",yeah were going to try this,yeah i told him try this
3845f846affeba7f233b3cba,0.42857142857142855, The new cloud separated grass that shines, The new class separated brass hat shines,the new cloud separated grass that shines,the new class separated brass hat shines
eded6c4c62c7cee0eff9d5e6,0.5714285714285714," I've had enough, thrown in our disaster."," I've had enough, thrown in an awesome dust of",ive had enough thrown in our disaster,ive had enough thrown in an awesome dust of
4277c59a450544284dd88a6c,0.0, Living's not only how we see, Living's not only how we see,livings not only how we see,livings not only how we see
3ebc3c5c7da93d7d6f136911,5.0, you, I'm always under the gun,you,im always under the gun
6a143e15ac868db59cbc471c,0.0, How could you be so calm?, How could you be so calm?,how could you be so calm,how could you be so calm
c55d30f9d94883cc84fe1085,1.0, Pick up and there's a bear, The figure senses are still a woooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,pick up and theres a bear,the figure senses are still a woooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
ad3d8d40f47b7652c52c429d,0.0, It will stab you through your loving heart, It will stab you through your loving heart,it will stab you through your loving heart,it will stab you through your loving heart
de3257fbd48bb06ecec01c3f,0.125, So when you lost all sense of direction, So when you've lost all sense of direction,so when you lost all sense of direction,so when youve lost all sense of direction
1298a3bd86cbaae7fd116631,0.42857142857142855, Of the girl they talk a lot, Other girls they talk a lot,of the girl they talk a lot,other girls they talk a lot
20188397edf47edd45eac2d6,0.8181818181818182," Ja, jeg har et håb til at se dig med pastbrennen", Vi har en håb til at se om at plads på alt den,ja jeg har et hb til at se dig med pastbrennen,vi har en hb til at se om at plads p alt den
